name,zone,latitude,longitude,initial
station-1,a,35.5821084092067,139.65688347811465,5
station-2,a,35.57889733338234,139.6258342265674,5
station-3,a,35.594602457220844,139.6343529224294,5
station-4,a,35.585746891164035,139.63704586028888,5
station-5,a,35.6046363,139.6579188,5
station-6,a,35.566078,139.6577835,5
station-7,a,35.5679172,139.6394655,5
station-8,a,35.5906752,139.6258571,5
station-9,a,35.5953236,139.6752593,5
station-10,a,35.5751363716453,139.64631557464367,5
station-11,a,35.575825749076785,139.63349461551314,5
station-12,a,35.6047618,139.6716333,5
station-13,a,35.5882085,139.6782211,4
station-14,a,35.6057418,139.6544893,4
station-15,a,35.6088944,139.6447792,4
station-16,a,35.6034434,139.6654328,4
station-17,a,35.5998613,139.6529987,4
station-18,a,35.6080293,139.6676481,4
station-19,a,35.59300591030757,139.64313983916975,4
station-20,a,35.5739117,139.6788036,4
station-21,a,35.5726331,139.6383421,4
station-22,a,35.5818028,139.6444064,4
station-23,a,35.5836181,139.6741105,4
station-24,a,35.5980007,139.6644469,4